Training batches: 7 Validation batches: 12
ANN(
  (layers): Sequential(
    (0): Linear(in_features=13, out_features=13, bias=True)
    (1): ReLU()
    (2): Linear(in_features=13, out_features=13, bias=True)
    (3): ReLU()
    (4): Linear(in_features=13, out_features=3, bias=True)
  )
)
Epoch [1] Train [1/7]	Acc 50.000 (50.000)	Loss 1.098e+00 (1.098e+00)	Time  0.010 ( 0.010)
Epoch [1] Train [2/7]	Acc 56.000 (53.000)	Loss 1.048e+00 (1.073e+00)	Time  0.001 ( 0.005)
Epoch [1] Train [3/7]	Acc 31.000 (45.667)	Loss 1.129e+00 (1.092e+00)	Time  0.001 ( 0.004)
Epoch [1] Train [4/7]	Acc 38.000 (43.750)	Loss 1.047e+00 (1.080e+00)	Time  0.001 ( 0.003)
Epoch [1] Train [5/7]	Acc 50.000 (45.000)	Loss 9.749e-01 (1.059e+00)	Time  0.001 ( 0.003)
Epoch [1] Train [6/7]	Acc 62.000 (47.833)	Loss 8.822e-01 (1.030e+00)	Time  0.001 ( 0.002)
Epoch [1] Train [7/7]**	Acc 100.000 (49.414)	Loss 6.928e-01 (1.020e+00)	Time  0.001 ( 0.002)
Epoch [1] Val [ 1/12]	Accuracy  0.000 ( 0.000)	Loss 1.089e+00 (1.089e+00)	Time  0.000 ( 0.000)
Epoch [1] Val [ 2/12]	Accuracy  0.000 ( 0.000)	Loss 1.063e+00 (1.076e+00)	Time  0.000 ( 0.000)
Epoch [1] Val [ 3/12]	Accuracy  0.000 ( 0.000)	Loss 1.084e+00 (1.079e+00)	Time  0.000 ( 0.000)
Epoch [1] Val [ 4/12]	Accuracy 100.000 (25.000)	Loss 4.582e-01 (9.236e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 5/12]	Accuracy 100.000 (40.000)	Loss 9.787e-01 (9.346e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 6/12]	Accuracy  0.000 (33.333)	Loss 1.102e+00 (9.624e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 7/12]	Accuracy 100.000 (42.857)	Loss 5.944e-01 (9.099e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 8/12]	Accuracy 100.000 (50.000)	Loss 7.678e-01 (8.921e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 9/12]	Accuracy 100.000 (55.556)	Loss 9.439e-01 (8.979e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [10/12]	Accuracy 100.000 (60.000)	Loss nan (nan)	Time  0.000 ( 0.000)
Epoch [1] Val [11/12]	Accuracy 100.000 (63.636)	Loss 8.152e-01 (nan)	Time  0.000 ( 0.000)
Epoch [1] Val [12/12]**	Accuracy  0.000 (58.333)	Loss 1.083e+00 (nan)	Time  0.000 ( 0.000)
Saved best model to ../../models/cdetect_ann_model_best.pth.tar

Epoch Stats [1/10] 	Accuracy 58.333 	Best True 	Time(s) 0:00:00.018425 	Avg Time(s) 0:00:00.018432
Epoch [2] Train [1/7]	Acc 56.000 (56.000)	Loss 8.415e-01 (8.415e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [2/7]	Acc 44.000 (50.000)	Loss 8.851e-01 (8.633e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [3/7]	Acc 69.000 (56.333)	Loss 8.651e-01 (8.639e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [4/7]	Acc 94.000 (65.750)	Loss 7.049e-01 (8.242e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [5/7]	Acc 100.000 (72.600)	Loss 4.658e-01 (7.525e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [6/7]	Acc 94.000 (76.167)	Loss 5.899e-01 (7.254e-01)	Time  0.001 ( 0.001)
Epoch [2] Train [7/7]**	Acc 100.000 (76.889)	Loss 5.728e-01 (7.208e-01)	Time  0.001 ( 0.001)
Epoch [2] Val [ 1/12]	Accuracy 100.000 (100.000)	Loss 8.721e-01 (8.721e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 2/12]	Accuracy 100.000 (100.000)	Loss 8.428e-01 (8.574e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 3/12]	Accuracy 100.000 (100.000)	Loss 8.779e-01 (8.643e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 4/12]	Accuracy 100.000 (100.000)	Loss 7.035e-02 (6.658e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 5/12]	Accuracy 100.000 (100.000)	Loss 9.143e-01 (7.155e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 6/12]	Accuracy 100.000 (100.000)	Loss 8.463e-01 (7.373e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 7/12]	Accuracy 100.000 (100.000)	Loss 1.758e-01 (6.571e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 8/12]	Accuracy 100.000 (100.000)	Loss 5.043e-01 (6.380e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [ 9/12]	Accuracy 100.000 (100.000)	Loss 8.269e-01 (6.590e-01)	Time  0.000 ( 0.000)
Epoch [2] Val [10/12]	Accuracy 100.000 (100.000)	Loss nan (nan)	Time  0.000 ( 0.000)
Epoch [2] Val [11/12]	Accuracy 100.000 (100.000)	Loss 2.625e-01 (nan)	Time  0.000 ( 0.000)
Epoch [2] Val [12/12]**	Accuracy 100.000 (100.000)	Loss 8.622e-01 (nan)	Time  0.000 ( 0.000)
Saved best model to ../../models/cdetect_ann_model_best.pth.tar

Epoch Stats [2/10] 	Accuracy 100.000 	Best True 	Time(s) 0:00:00.008306 	Avg Time(s) 0:00:00.013383
Epoch [3] Train [1/7]	Acc 88.000 (88.000)	Loss 5.547e-01 (5.547e-01)	Time  0.001 ( 0.001)
