Training batches: 7 Validation batches: 12
ANN(
  (layers): Sequential(
    (0): Linear(in_features=13, out_features=13, bias=True)
    (1): ReLU()
    (2): Linear(in_features=13, out_features=13, bias=True)
    (3): ReLU()
    (4): Linear(in_features=13, out_features=3, bias=True)
  )
)
Epoch [1] Train [1/7]	Acc 50.000 (50.000)	Loss 1.070e+00 (1.070e+00)	Time  0.005 ( 0.005)
Epoch [1] Train [2/7]	Acc 38.000 (44.000)	Loss 1.086e+00 (1.078e+00)	Time  0.001 ( 0.003)
Epoch [1] Train [3/7]	Acc 62.000 (50.000)	Loss 9.760e-01 (1.044e+00)	Time  0.001 ( 0.002)
Epoch [1] Train [4/7]	Acc 38.000 (47.000)	Loss 1.074e+00 (1.052e+00)	Time  0.001 ( 0.002)
Epoch [1] Train [5/7]	Acc 25.000 (42.600)	Loss 1.118e+00 (1.065e+00)	Time  0.001 ( 0.002)
Epoch [1] Train [6/7]	Acc 38.000 (41.833)	Loss 9.880e-01 (1.052e+00)	Time  0.001 ( 0.001)
Epoch [1] Train [7/7]**	Acc  0.000 (40.566)	Loss 1.139e+00 (1.055e+00)	Time  0.001 ( 0.001)
Epoch [1] Val [ 1/12]	Accuracy 100.000 (100.000)	Loss 6.790e-01 (6.790e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 2/12]	Accuracy 100.000 (100.000)	Loss 6.020e-01 (6.405e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 3/12]	Accuracy 100.000 (100.000)	Loss 7.671e-01 (6.827e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 4/12]	Accuracy  0.000 (75.000)	Loss 9.745e-01 (7.557e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 5/12]	Accuracy  0.000 (60.000)	Loss 1.224e+00 (8.493e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 6/12]	Accuracy 100.000 (66.667)	Loss 5.525e-01 (7.998e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 7/12]	Accuracy  0.000 (57.143)	Loss 1.189e+00 (8.555e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 8/12]	Accuracy  0.000 (50.000)	Loss 1.393e+00 (9.227e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [ 9/12]	Accuracy  0.000 (44.444)	Loss 1.177e+00 (9.510e-01)	Time  0.000 ( 0.000)
Epoch [1] Val [10/12]	Accuracy 100.000 (50.000)	Loss nan (nan)	Time  0.000 ( 0.000)
Epoch [1] Val [11/12]	Accuracy  0.000 (45.455)	Loss 1.254e+00 (nan)	Time  0.000 ( 0.000)
Epoch [1] Val [12/12]**	Accuracy 100.000 (50.000)	Loss 6.924e-01 (nan)	Time  0.000 ( 0.000)
